"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.6382978723404256","0.05479575337808453","0.6103896103896104","0.625","17","2","false","","Unclustered","11.868131868131869","FOXM1","21.529411764705884","0","17","0","0.9822695035460993","false","0","FOXM1","570","0.46675191815856776"
"1.553191489361702","0.01436170531957432","0.6438356164383562","0.7430830039525692","23","3","false","Cluster 0","Clustered","15.410526315789474","RRM2","22.17391304347826","0","23","0","0.9846335697399528","false","0","RRM2","216","0.4927536231884058"
"1.6382978723404256","0.0012095981446256247","0.6103896103896104","0.9315789473684211","20","3","false","Cluster 0","Clustered","15.494736842105263","SPAG5","24.35","0","20","0","0.9822695035460993","false","0","SPAG5","38","0.553409090909091"
"2.3404255319148937","0.0","0.42727272727272725","0.0","1","4","false","","Unclustered","0.0","DES","31.0","0","1","0","0.9627659574468085","false","0","DES","0","0.0"
"1.6808510638297873","0.0036197219747242226","0.5949367088607594","0.8578947368421053","20","3","false","Cluster 0","Clustered","14.298245614035087","KIF15","23.45","0","20","0","0.9810874704491727","false","0","KIF15","76","0.5583333333333333"
"1.553191489361702","0.0037569643360574416","0.6438356164383562","0.8616600790513834","23","3","false","Cluster 0","Clustered","16.043290043290042","TTK","23.52173913043478","0","23","0","0.9846335697399528","false","0","TTK","106","0.5227053140096618"
"1.553191489361702","0.04624325297981743","0.6438356164383562","0.7922077922077922","22","3","false","Cluster 0","Clustered","15.494736842105263","UBE2C","22.90909090909091","0","22","0","0.9846335697399528","false","0","UBE2C","366","0.5080808080808081"
"1.3617021276595744","0.06846681056285796","0.734375","0.5548387096774193","31","3","false","Cluster 0","Clustered","16.043290043290042","CDC20","19.0","0","31","0","0.9899527186761229","false","0","CDC20","650","0.41304347826086957"
"1.553191489361702","0.0023253892838343416","0.6438356164383562","0.9047619047619048","22","3","false","Cluster 0","Seed","16.043290043290042","KIF2C","24.136363636363637","0","22","0","0.9846335697399528","false","0","KIF2C","76","0.5247035573122529"
"2.404255319148936","0.002524795586775235","0.415929203539823","0.3333333333333333","3","4","false","","Unclustered","2.0","TWIST1","9.666666666666666","0","3","0","0.9609929078014184","false","0","TWIST1","24","0.37333333333333335"
"2.4468085106382977","0.0","0.40869565217391307","1.0","2","4","false","","Unclustered","2.0","SOX2","13.5","0","2","0","0.9598108747044917","false","0","SOX2","0","0.54"
"2.0638297872340425","0.0","0.4845360824742268","1.0","6","3","false","","Unclustered","6.0","E2F8","27.0","0","6","0","0.9704491725768322","false","0","E2F8","0","0.7105263157894737"
"2.0425531914893615","0.0425531914893617","0.48958333333333337","0.6","5","3","false","","Unclustered","4.0","MYBL2","21.6","0","5","0","0.9710401891252955","false","0","MYBL2","304","0.5487179487179488"
"2.0851063829787235","0.0020336842723521725","0.47959183673469385","0.5","5","3","false","","Unclustered","3.0","CCNE1","14.8","0","5","0","0.9698581560283688","false","0","CCNE1","16","0.3894736842105263"
"2.021276595744681","0.003712740063060509","0.49473684210526314","0.6666666666666666","6","3","false","","Unclustered","3.7333333333333334","EXO1","19.5","0","6","0","0.9716312056737588","false","0","EXO1","62","0.4875"
"2.2127659574468086","0.0","0.4519230769230769","0.0","1","3","false","","Unclustered","0.0","TERT","36.0","0","1","0","0.9663120567375887","false","0","TERT","0","0.0"
"2.127659574468085","0.0037773101602888845","0.47000000000000003","0.3333333333333333","3","3","false","","Unclustered","2.0","E2F2","14.666666666666666","0","3","0","0.9686761229314421","false","0","E2F2","46","0.38738738738738737"
"2.0638297872340425","1.541782300339192E-4","0.4845360824742268","0.9","5","3","false","","Unclustered","3.7333333333333334","CDC25C","25.6","0","5","0","0.9704491725768322","false","0","CDC25C","2","0.6564102564102564"
"2.0","0.002538100711088685","0.5","0.6190476190476191","7","3","false","","Unclustered","3.7333333333333334","CDC25A","18.714285714285715","0","7","0","0.9722222222222222","false","0","CDC25A","28","0.46785714285714286"
"2.2127659574468086","0.0","0.4519230769230769","1.0","3","4","false","","Unclustered","3.0","GINS2","18.666666666666668","0","3","0","0.9663120567375887","false","0","GINS2","0","0.5333333333333333"
"2.3404255319148937","3.574131696240855E-4","0.42727272727272725","0.3333333333333333","3","3","false","","Unclustered","2.0","RAD51","14.666666666666666","0","3","0","0.9627659574468085","false","0","RAD51","6","0.5308641975308642"
